label,A_name,A_class,A_reason,B_name,B_class,B_reason,agreement
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO),dependency_pairs,transformed_calls,leads with dependency pairs; DP is the primary transformed-calls method,dependency_pairs,transformed_calls,leads with dependency pairs as primary method,agree
KBO (Knuth-Bendix ordering),path_order_generic,path_order,KBO is a path-order-family label in this vocabulary,path_order_generic,path_order,KBO is a path-order-family label in this vocabulary,agree
Knuth-Bendix Ordering (KBO),path_order_generic,path_order,KBO is a path-order-family label in this vocabulary,path_order_generic,path_order,KBO is a path-order-family label in this vocabulary,agree
LPO (lexicographic path order),lpo,path_order,explicit LPO,lpo,path_order,explicit LPO,agree
LPO (lexicographic path ordering),lpo,path_order,explicit LPO,lpo,path_order,explicit LPO,agree
LPO + polynomial interpretation,lpo,path_order,compound; leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial compound precedent,agree
LPO + structural induction,lpo,path_order,compound; leads with LPO as primary,lpo,path_order,leads with LPO as primary method,agree
LPO / weight function,lpo,path_order,compound; leads with LPO as primary,lpo,path_order,leads with LPO as primary method,agree
LPO path order,lpo,path_order,explicit LPO,lpo,path_order,explicit LPO,agree
LPO/RPO path order,path_order_generic,path_order,fused LPO/RPO abbreviation maps generic like 'LPO/RPO reduction ordering',path_order_generic,path_order,undifferentiated LPO/RPO maps to generic path order per dictionary,agree
LPO/RPO; polynomial interpretation,lpo,path_order,matches dictionary 'LPO/RPO / polynomial interpretation' -> lpo,lpo,path_order,matches dictionary entry LPO/RPO / polynomial interpretation -> lpo,agree
LPO/path order,lpo,path_order,explicit LPO,lpo,path_order,LPO is the named leading method,agree
LPO; RPO; structural induction,lpo,path_order,first committed method named is LPO,lpo,path_order,leads with LPO as primary,agree
LPO; simple subterm argument,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO as primary,agree
Lexicographic Path Order (LPO) or polynomial interpretation,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic Path Order (LPO) with precedence F>G,lpo,path_order,LPO with explicit precedence,lpo,path_order,"LPO with explicit precedence, matches LPO with precedence entry",agree
"Lexicographic Path Order (LPO) with precedence F>G, F>S",lpo,path_order,LPO with explicit precedence,lpo,path_order,LPO with explicit precedence,agree
Lexicographic Path Order (LPO); Polynomial Interpretations,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic Path Order (LPO); structural induction,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO as primary,agree
Lexicographic Path Ordering (LPO) or Polynomial Interpretation,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic Path Ordering (LPO) with precedence F>G,lpo,path_order,LPO with explicit precedence,lpo,path_order,LPO with explicit precedence,agree
Lexicographic Path Ordering (LPO); Polynomial Interpretation,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic Path Ordering (LPO); Polynomial Interpretations,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic Path Ordering (LPO); Recursive Path Ordering (RPO),lpo,path_order,full-name LPO/RPO compound maps lpo per dictionary precedent,lpo,path_order,matches LPO/RPO full-name compound -> lpo precedent,agree
Lexicographic Path Ordering (LPO); polynomial interpretation,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic counting of S and F symbols,lexicographic_measure,direct_measure,"lexicographically ordered symbol-count tuple, a counting measure",lexicographic_measure,direct_measure,symbol counts compared lexicographically is a lexicographic measure,agree
